,newcity,clouds,country,humidity,lat,lng,maxtemp,windspeed
0,Leh,0,IN,42,34.16,77.58,31.24,0.81
1,Bonfim,55,GY,61,3.36,-59.84,82.45,6.31
2,Longyearbyen,40,NO,67,78.22,15.63,19.4,6.93
3,Barrow,46,AR,97,-38.31,-60.23,45.68,6.82
4,Jamestown,0,AU,11,-33.21,138.6,84.81,8.34
5,Port Elizabeth,90,US,82,39.31,-74.98,60.01,5.88
6,Puerto Ayora,4,EC,90,-0.74,-90.35,69.01,8.99
7,Punta Arenas,40,CL,80,-53.16,-70.91,30.2,5.82
8,Cape Town,40,ZA,93,-33.93,18.42,53.01,5.82
9,Ushuaia,0,AR,74,-54.81,-68.31,33.8,6.93
10,Bacolod,100,PH,72,10.68,122.95,84.29,4.7
11,Balabac,99,PH,80,7.99,117.06,81.61,13.18
12,Ternate,75,PH,66,14.29,120.72,88.0,9.17
13,Thompson,90,CA,85,55.74,-97.86,17.6,12.75
14,Havelock,90,US,77,34.88,-76.9,66.2,6.93
15,Coihaique,75,CL,93,-45.58,-72.07,42.8,4.7
16,Lincoln,0,GB,93,53.23,-0.54,39.99,4.7
17,Tres Picos,100,MX,96,16.23,-93.58,68.27,1.16
18,Walvis Bay,0,NA,81,-22.95,14.51,52.0,4.7
19,Mahebourg,75,MU,73,-20.41,57.7,78.01,6.93
20,Dongsheng,0,CN,50,29.72,112.52,70.92,4.25
21,Khandyga,100,RU,89,62.65,135.58,16.52,2.98
22,Norman Wells,75,CA,73,65.28,-126.83,26.6,20.8
23,Pisco,51,PE,82,-13.71,-76.2,63.0,6.93
24,Bredasdorp,0,ZA,76,-34.53,20.04,55.0,11.41
25,Hobart,100,AU,9,-42.88,147.33,80.6,25.28
26,Sitka,0,US,87,37.17,-99.65,19.99,7.23
27,Bluff,100,AU,51,-23.58,149.07,79.9,15.64
28,Upernavik,100,GL,97,72.79,-56.15,28.02,8.23
29,Mapiri,99,BO,96,-15.31,-68.22,69.46,0.83
30,Cowra,0,AU,29,-33.84,148.69,73.99,8.99
31,Puerto Penasco,58,MX,10,31.32,-113.53,64.85,8.34
32,Lorengau,38,PG,63,-2.02,147.27,84.42,2.13
33,Guaymas,67,MX,56,27.92,-110.9,72.0,3.0
34,Te Anau,39,NZ,78,-45.41,167.72,45.28,6.85
35,Acapulco,75,MX,88,16.86,-99.88,80.6,5.82
36,Kodiak,90,US,97,39.95,-94.76,32.0,12.75
37,Iqaluit,75,CA,64,63.75,-68.52,33.8,20.8
38,Nikolskoye,90,RU,96,59.7,30.79,32.0,5.53
39,Arraial do Cabo,99,BR,87,-22.97,-42.02,74.89,27.6
40,Camacha,40,PT,88,33.08,-16.33,71.6,8.05
41,Rock Springs,90,US,85,41.59,-109.2,17.6,10.29
42,Lamu,27,CN,17,35.77,102.37,42.21,3.29
43,Olinda,0,AU,17,-37.84,145.39,84.2,13.87
44,Aklavik,90,CA,79,68.22,-135.01,28.4,6.93
45,San Patricio,86,PY,49,-26.98,-56.83,85.15,9.31
46,San Quintin,22,PH,58,17.54,120.52,87.58,4.61
47,Nelson Bay,0,AU,44,-32.72,152.14,78.8,14.99
48,Mataura,62,NZ,66,-46.19,168.86,54.0,13.0
49,Avarua,100,CK,69,-21.21,-159.78,73.4,4.7
50,New Norfolk,70,AU,9,-42.78,147.06,80.6,25.28
51,Severo-Kurilsk,65,RU,91,50.68,156.12,36.9,12.5
52,Pevek,100,RU,93,69.7,170.27,1.4,7.11
53,Rikitea,29,PF,84,-23.12,-134.97,71.44,12.5
54,Dawson Creek,1,CA,84,55.76,-120.23,12.2,2.24
55,Albany,90,US,81,42.65,-73.75,55.0,3.36
56,Porterville,0,US,57,36.07,-119.02,54.0,4.7
57,Yelan-Koleno,100,RU,82,51.15,41.22,43.74,2.21
58,Grindavik,75,IS,93,63.84,-22.43,44.6,16.11
59,Indiaroba,0,BR,89,-11.53,-37.51,71.51,3.27
60,Nome,75,US,88,30.04,-94.42,71.01,5.77
61,Busselton,100,AU,31,-33.64,115.35,75.99,5.66
62,Ilulissat,0,GL,53,69.22,-51.1,26.6,11.41
63,Mujiayingzi,0,CN,26,42.12,118.78,46.67,4.9
64,Abu Samrah,0,SY,76,35.3,37.18,62.08,6.44
65,San Pedro,99,AR,90,-33.68,-59.66,61.0,8.01
66,Cidreira,64,BR,81,-30.17,-50.22,72.97,6.38
67,Port Alfred,39,ZA,53,-33.59,26.89,60.01,8.99
68,Velikooktyabrskiy,100,RU,82,57.43,33.81,31.23,5.08
69,Robertsport,100,LR,79,6.75,-11.37,80.83,9.98
70,Paracuru,40,BR,61,-3.41,-39.03,80.6,18.34
71,Salalah,1,OM,36,17.01,54.1,80.6,1.28
72,Kapaa,20,US,69,22.08,-159.32,82.4,8.05
73,Caravelas,0,BR,92,-17.73,-39.27,71.08,6.22
74,Bandar-e Lengeh,46,IR,78,26.56,54.88,82.4,11.41
75,Bequimao,38,BR,78,-2.45,-44.78,80.6,13.87
76,Rawson,100,AR,64,-43.3,-65.11,56.44,26.53
77,Las Vegas,1,US,16,36.17,-115.15,50.0,3.36
78,Hailun,100,CN,66,47.46,126.97,38.82,15.61
79,Mar del Plata,100,AR,70,-46.43,-67.52,52.34,5.17
80,Saint Anthony,90,US,85,43.97,-111.68,26.6,16.11
81,Mayo,90,CA,95,63.59,-135.9,32.0,4.7
82,Xingyi,0,CN,62,24.19,102.82,61.66,4.56
83,Hermanus,53,ZA,68,-34.42,19.24,55.0,7.0
84,Tasiilaq,100,GL,47,65.61,-37.64,32.0,10.29
85,Palma Soriano,20,CU,78,20.21,-75.99,77.0,4.7
86,Hilo,90,US,65,19.71,-155.08,78.8,3.36
87,Atuona,23,PF,74,-9.8,-139.03,80.2,15.35
88,Jaicos,0,BR,51,-7.36,-41.14,79.23,11.59
89,Hushitai,0,CN,34,41.93,123.51,48.2,8.95
90,Kabompo,99,ZM,58,-13.6,24.21,72.79,4.07
91,Mangaratiba,40,BR,83,-22.96,-44.04,75.2,12.75
92,Mananjary,0,MG,71,-19.16,46.8,66.49,3.47
93,Esperance,45,AU,46,-33.86,121.89,69.8,11.41
94,Shunyi,0,CN,21,40.13,116.65,61.0,6.71
95,Luena,33,AO,81,-11.78,19.91,64.06,6.33
96,Pedra Branca,0,BR,71,-5.46,-39.72,72.91,4.5
97,Sibiti,100,CG,99,-3.69,13.35,69.01,1.59
98,Saldanha,93,PT,96,41.42,-6.55,54.19,2.73
99,Panzhihua,72,CN,57,26.59,101.72,70.0,1.61
